,0
64,"[-0.1375246494557321, -0.05895425248765629, 0.21295516087362854], [0.9859834459126469 + 0.0418848453604017*i + -0.15924799529474362*j + 0.026877129868408418*k]"
65,"[-0.13949781770548425, -0.05856742887250648, 0.21325613779336355], [0.9855422721217586 + 0.04253418029210795*i + -0.16171679481541296*j + 0.027293802274320232*k]"
66,"[-0.1414709859552364, -0.058180605257356674, 0.2135571147130986], [0.9850943130131269 + 0.04318322238205956*i + -0.16418448093905377*j + 0.027710286766302734*k]"
67,"[-0.14343477576587688, -0.05753684781412516, 0.2133526291513356], [0.9846573941818864 + 0.04383053660199517*i + -0.1665369129313751*j + 0.028180787345392286*k]"
68,"[-0.1453985655765173, -0.05689309037089364, 0.2131481435895726], [0.9842142077888821 + 0.04447757183088588*i + -0.16888828487946794*j + 0.028651108547547*k]"
69,"[-0.14736220149147955, -0.056242059210724116, 0.2129395059284043], [0.9837656100663864 + 0.0451264228870282*i + -0.17123260620122419*j + 0.029124302252042066*k]"
70,"[-0.14932583740644179, -0.05559102805055458, 0.212730868267236], [0.9833107733000785 + 0.04577498775129047*i + -0.17357584156538933*j + 0.02959731125014377*k]"
71,"[-0.1513021205671335, -0.054967606640054595, 0.21267769334499376], [0.9828431200302844 + 0.04643234149238044*i + -0.17595369142736544*j + 0.03006222789073449*k]"
72,"[-0.15327840372782517, -0.05434418522955461, 0.21262451842275154], [0.9823690575117813 + 0.047089392442090275*i + -0.17833039387227512*j + 0.03052694849159988*k]"
73,"[-0.15521249403367937, -0.05464442988090648, 0.21188572250902932], [0.9819530139423392 + 0.0476127986827248*i + -0.18042213019610207*j + 0.030808355143616864*k]"
74,"[-0.15714658433953355, -0.05494467453225836, 0.2111469265953071], [0.9815321572350516 + 0.04813597154461307*i + -0.1825129821633756*j + 0.03108961078549589*k]"
75,"[-0.15913866188749337, -0.0548034912166227, 0.21058956642332072], [0.9810665505175602 + 0.048688128431326964*i + -0.1848010972592459*j + 0.03140770697151936*k]"
76,"[-0.16113073943545317, -0.05466230790098704, 0.2100322062513343], [0.9805951963956078 + 0.04924000008727196*i + -0.18708812973064978*j + 0.031725619161059544*k]"
77,"[-0.16311082746379027, -0.054510732309773116, 0.20946585717351202], [0.980117454494027 + 0.04980384439900908*i + -0.1893782671865025*j + 0.032019125482530046*k]"
78,"[-0.16509091549212737, -0.05435915671855919, 0.20889950809568975], [0.9796339524095676 + 0.050367396011896194*i + -0.19166729165998028*j + 0.03231244362653513*k]"
79,"[-0.1670556894193026, -0.053672901495275274, 0.20861564644394454], [0.979135171415708 + 0.051026753261980744*i + -0.1939437636031675*j + 0.03280858283607459*k]"
80,"[-0.1690204633464778, -0.05298664627199136, 0.20833178479219935], [0.9786304059348676 + 0.05168579863588161*i + -0.19621905015953361*j + 0.033304521519126405*k]"
81,"[-0.17098327147143527, -0.05228629718434545, 0.2081823596803498], [0.978111985576395 + 0.05235381139586915*i + -0.19852816965794326*j + 0.033802188633204895*k]"
82,"[-0.17294607959639272, -0.05158594809669955, 0.20803293456850022], [0.9775874082904111 + 0.053021494603999186*i + -0.20083603947986647*j + 0.03429964297243941*k]"
83,"[-0.17490771209759437, -0.05088783951805952, 0.20788384798958437], [0.977056441526654 + 0.05368506495599925*i + -0.2031447492370452*j + 0.03479705058421303*k]"
84,"[-0.17686934459879602, -0.050189730939419495, 0.20773476141066852], [0.976519319496482 + 0.05434829710248398*i + -0.20545217922163433*j + 0.03529423898130497*k]"
85,"[-0.1788305751208148, -0.04948049890411203, 0.20757510360992915], [0.9759779006211409 + 0.05500963467384794*i + -0.20774980434849644*j + 0.03579240681152328*k]"
86,"[-0.18079180564283356, -0.04877126686880457, 0.20741544580918975], [0.9754303743160005 + 0.0556706280084399*i + -0.2100461294281495*j + 0.0362903506616578*k]"
87,"[-0.18276341415160857, -0.04807827530743554, 0.20718445934594645], [0.9748820651608594 + 0.05632561839165154*i + -0.21231864548389814*j + 0.0367855477107322*k]"
88,"[-0.18473502266038355, -0.0473852837460665, 0.20695347288270316], [0.9743277710051886 + 0.056980262980363565*i + -0.21458985807202635*j + 0.03728051892580022*k]"
89,"[-0.1867084517189463, -0.04669070574087861, 0.2067636076376549], [0.9737653540149434 + 0.057634680192894305*i + -0.21686934769221985*j + 0.037775190148641266*k]"
90,"[-0.18868188077750903, -0.04599612773569071, 0.20657374239260665], [0.9731969139477886 + 0.05828874091491115*i + -0.21914749590017782*j + 0.03826962771881169*k]"
91,"[-0.19065658568526594, -0.04533063452085703, 0.20654447145551286], [0.9726118688560794 + 0.058951044190095496*i + -0.22147000293509908*j + 0.03875518996352915*k]"
92,"[-0.19263129059302284, -0.044665141306023365, 0.20651520051841907], [0.9720205886093581 + 0.059612969545874965*i + -0.22379109018496215*j + 0.03924050375907105*k]"
93,"[-0.194600521816581, -0.044592048289350844, 0.20598386047551398], [0.9714469960034671 + 0.06037322417118797*i + -0.22600200061105832*j + 0.03960938624637526*k]"
94,"[-0.19656975304013918, -0.044518955272678316, 0.20545252043260892], [0.9708676415562296 + 0.06113312071114926*i + -0.22821157057526945*j + 0.03997803380269474*k]"
95,"[-0.19854005901954877, -0.04444426016384711, 0.20490678737875045], [0.9702852501781407 + 0.06189070082183178*i + -0.23040894878995533*j + 0.04034588896074926*k]"
96,"[-0.20051036499895836, -0.0443695650550159, 0.20436105432489202], [0.9696971565347626 + 0.06264791720731601*i + -0.23260497291526305*j + 0.04071350701021932*k]"
97,"[-0.202480948886449, -0.0442785133876777, 0.20383080365107048], [0.969101319677225 + 0.06341319476660369*i + -0.2348064964554105*j + 0.04107685664323645*k]"
98,"[-0.20445153277393963, -0.044187461720339494, 0.20330055297724892], [0.9684997463211835 + 0.06417809695781632*i + -0.23700663008194595*j + 0.041439963125901924*k]"
99,"[-0.206400862221217, -0.044134969058558446, 0.2033845039182819], [0.968432594398424 + 0.0650433721196851*i + -0.23702651278698927*j + 0.04154638475339331*k]"
100,"[-0.20835019166849436, -0.044082476396777405, 0.2034684548593149], [0.9683647016911923 + 0.06590859752783805*i + -0.23704621418301713*j + 0.04165277460075164*k]"
101,"[-0.210892522204477, -0.04427478999908811, 0.20363469898943226], [0.968203846060263 + 0.06758608410048625*i + -0.2369701934267574*j + 0.043111032664062056*k]"
102,"[-0.21343485274045962, -0.044467103601398814, 0.20380094311954963], [0.9680381763925213 + 0.06926323462623875*i + -0.23689299442354148*j + 0.044569076373650256*k]"
103,"[-0.21596771410690502, -0.04465894987167565, 0.2039229254394416], [0.9678328927209093 + 0.07093601920816943*i + -0.23695510999769143*j + 0.04604181569352842*k]"
104,"[-0.21850057547335042, -0.04485079614195249, 0.20404490775933357], [0.9676227571393533 + 0.07260844817584108*i + -0.23701603767580773*j + 0.04751432419799921*k]"
105,"[-0.2210420945032407, -0.04505338902535218, 0.2041855775542555], [0.9674393501865793 + 0.07428894024403986*i + -0.23694716999060322*j + 0.048972397342081586*k]"
106,"[-0.22358361353313094, -0.045255981908751866, 0.20432624734917745], [0.9672511172479806 + 0.075969061728416*i + -0.23687712031535113*j + 0.05043022619168149*k]"
107,"[-0.2261232892810448, -0.045460365359204426, 0.20439476321130695], [0.9670142583387374 + 0.07763622046923395*i + -0.2369893741573926*j + 0.05188523853006108*k]"
108,"[-0.22866296502895864, -0.045664748809656985, 0.20446327907343642], [0.9667725980274733 + 0.07930299373206887*i + -0.23710045130400248*j + 0.05333999324877582*k]"
109,"[-0.2311780986864851, -0.045957109709227964, 0.2044833124688022], [0.9664876395609413 + 0.08095122542725203*i + -0.23737813278747125*j + 0.054773750575252036*k]"
110,"[-0.23369323234401157, -0.04624947060879895, 0.20450334586416796], [0.9661979156955383 + 0.08259905798139866*i + -0.23765464384574295*j + 0.05620723783229491*k]"
111,"[-0.2362350978817524, -0.04653657744807907, 0.20442968240193748], [0.9659294655127713 + 0.084256742528577*i + -0.23782699637899768*j + 0.057614137032757216*k]"
112,"[-0.2387769634194932, -0.04682368428735919, 0.204356018939707], [0.9656563508041514 + 0.08591402019536931*i + -0.23799820043276948*j + 0.059020758011422515*k]"
113,"[-0.24127743350649916, -0.04719573990060138, 0.2041915923794021], [0.9653496178633606 + 0.08757027813994782*i + -0.23829591381977458*j + 0.06038724314252573*k]"
114,"[-0.24377790359350515, -0.04756779551384357, 0.20402716581909722], [0.9650382578180969 + 0.08922611634351418*i + -0.2385924850091051*j + 0.061753438826077825*k]"
115,"[-0.24630025931596333, -0.047992272263377295, 0.20388489481783018], [0.9647584422221029 + 0.09089726960305834*i + -0.23873686451143836*j + 0.06311532352081631*k]"
116,"[-0.24882261503842154, -0.04841674901291103, 0.2037426238165631], [0.9644740472792335 + 0.09256799140731865*i + -0.23888011081931929*j + 0.06447690863076037*k]"
117,"[-0.2512632440158112, -0.048837135075917235, 0.20345606104256375], [0.9640948409580017 + 0.09415469201071439*i + -0.23945280804731126*j + 0.06571441492389932*k]"
118,"[-0.25370387299320085, -0.049257521138923434, 0.20316949826856442], [0.9637112761373583 + 0.0957409669576785*i + -0.24002442275221667*j + 0.06695162413398521*k]"
119,"[-0.2562297478507284, -0.04978876884389047, 0.20304058046228546], [0.9634924609450657 + 0.09741489390086025*i + -0.23985627831519962*j + 0.06827577828986406*k]"
120,"[-0.2587556227082559, -0.050320016548857496, 0.20291166265600646], [0.9632691832716535 + 0.09908836966030944*i + -0.23968702296745226*j + 0.06959961622181393*k]"
121,"[-0.26125901741340074, -0.050799655875283484, 0.20288346113540817], [0.9629740085709906 + 0.10072026036528198*i + -0.23981352421814037*j + 0.07089401646643426*k]"
122,"[-0.2637624121185455, -0.051279295201709464, 0.20285525961480988], [0.9626745566576241 + 0.10235170370410204*i + -0.2399389602963076*j + 0.07218810182323296*k]"
123,"[-0.2663351447483339, -0.051757993268994495, 0.20295249462549522], [0.9625620184436414 + 0.10395216626613862*i + -0.2393490292284136*j + 0.07335086901800283*k]"
124,"[-0.26890787737812233, -0.052236691336279534, 0.20304972963618056], [0.9624453660552841 + 0.10555218451671222*i + -0.23875807513693903*j + 0.07451332269711358*k]"
125,"[-0.27147884658243787, -0.05272053645997425, 0.20305578047566375], [0.9623548113667718 + 0.10711970681924245*i + -0.23808494949762762*j + 0.07559194582028472*k]"
126,"[-0.2740498157867534, -0.05320438158366897, 0.2030618313151469], [0.9622603284880703 + 0.10868679187495224*i + -0.23741085203072024*j + 0.07667026038829886*k]"
127,"[-0.2766041270641556, -0.053734955675188864, 0.20297135394495874], [0.9620657383871818 + 0.11032923082969442*i + -0.2370358782875343*j + 0.0779164183629618*k]"
128,"[-0.27915843834155774, -0.05426552976670875, 0.20288087657477055], [0.9618668873105748 + 0.1119711811378142*i + -0.23665985471575404*j + 0.07916223124689606*k]"
129,"[-0.2816869244557598, -0.05480850418847878, 0.20270511925929086], [0.9616016427007499 + 0.11363229020541613*i + -0.2365047868231895*j + 0.08047030003429395*k]"
130,"[-0.2842154105699619, -0.055351478610248805, 0.2025293619438112], [0.9613320086409418 + 0.11529288057251655*i + -0.2363486393505927*j + 0.08177800149665679*k]"
131,"[-0.28675731572359, -0.055890005574102064, 0.2023860097925732], [0.9610892539176675 + 0.11694753687890466*i + -0.2360772079358074*j + 0.08305583372149052*k]"
132,"[-0.28929922087721804, -0.05642853253795532, 0.20224265764133523], [0.960842171075451 + 0.11860166652988846*i + -0.23580471338330486*j + 0.0843332919170385*k]"
133,"[-0.2918160397843197, -0.05698340214562879, 0.20203644807753307], [0.9605401688037367 + 0.12026234553051385*i + -0.2357214688542985*j + 0.08564427291512412*k]"
134,"[-0.29433285869142134, -0.05753827175330226, 0.2018302385137309], [0.9602337723864269 + 0.1219224743716841*i + -0.2356371459794949*j + 0.08695486211969934*k]"
135,"[-0.29683716781048686, -0.05816272078269552, 0.20153470446165683], [0.9599138161368752 + 0.12357549315368632*i + -0.23560424512471506*j + 0.08823379602271271*k]"
136,"[-0.2993414769295524, -0.05878716981208878, 0.20123917040958275], [0.959589567539113 + 0.12522795935582356*i + -0.23557029074258418*j + 0.08951233537970527*k]"
137,"[-0.3018000480470995, -0.05937518009200056, 0.20092831326402008], [0.9591955574254888 + 0.12683936071333435*i + -0.2358131033421122*j + 0.09081761657960946*k]"
138,"[-0.3042586191646465, -0.05996319037191234, 0.2006174561184574], [0.9587972169513181 + 0.12845018944500355*i + -0.23605485134563461*j + 0.0921224877765474*k]"
139,"[-0.30671575808629703, -0.06055701825967383, 0.20030662397746868], [0.9583939422229703 + 0.1300616857612361*i + -0.23629944193351787*j + 0.09342153471854028*k]"
140,"[-0.3091728970079476, -0.061150846147435316, 0.19999579183647997], [0.9579863481105007 + 0.13167259590266567*i + -0.23654296754382512*j + 0.09472016061916813*k]"
141,"[-0.3116322019757817, -0.06170155822619901, 0.19958813756146848], [0.9575845081754019 + 0.13327619421274883*i + -0.23675459608267588*j + 0.09600326552971204*k]"
